PWM, Thrust
1100, -4.59
1104, -4.54
1108, -4.53
1112, -4.48
1116, -4.42
1120, -4.35
1124, -4.35
1128, -4.17
1132, -4.18
1136, -4.11
1140, -4.04
1144, -3.99
1148, -3.91
1152, -3.86
1156, -3.81
1160, -3.71
1164, -3.68
1168, -3.56
1172, -3.54
1176, -3.42
1180, -3.36
1184, -3.27
1188, -3.19
1192, -3.09
1196, -3.03
1200, -2.96
1204, -2.88
1208, -2.84
1212, -2.78
1216, -2.70
1220, -2.66
1224, -2.59
1228, -2.53
1232, -2.48
1236, -2.42
1240, -2.36
1244, -2.32
1248, -2.25
1252, -2.21
1256, -2.16
1260, -2.11
1264, -2.04
1268, -2.00
1272, -1.94
1276, -1.88
1280, -1.81
1284, -1.76
1288, -1.72
1292, -1.66
1296, -1.61
1300, -1.56
1304, -1.52
1308, -1.47
1312, -1.42
1316, -1.38
1320, -1.33
1324, -1.27
1328, -1.22
1332, -1.17
1336, -1.13
1340, -1.08
1344, -1.05
1348, -1.01
1352, -0.97
1356, -0.93
1360, -0.89
1364, -0.86
1368, -0.81
1372, -0.77
1376, -0.74
1380, -0.70
1384, -0.67
1388, -0.64
1392, -0.60
1396, -0.56
1400, -0.53
1404, -0.49
1408, -0.46
1412, -0.43
1416, -0.40
1420, -0.37
1424, -0.34
1428, -0.30
1432, -0.27
1436, -0.24
1440, -0.21
1444, -0.18
1448, -0.15
1452, -0.13
1456, -0.10
1460, -0.08
1464, -0.06
1468, -0.05
1472, 0.00
1476, 0.00
1480, 0.00
1484, 0.00
1488, 0.00
1492, 0.00
1496, 0.00
1500, 0.00
1504, 0.00
1508, 0.00
1512, 0.00
1516, 0.00
1520, 0.00
1524, 0.00
1528, 0.00
1532, 0.05
1536, 0.07
1540, 0.09
1544, 0.12
1548, 0.15
1552, 0.18
1556, 0.21
1560, 0.25
1564, 0.29
1568, 0.32
1572, 0.36
1576, 0.39
1580, 0.43
1584, 0.47
1588, 0.51
1592, 0.55
1596, 0.59
1600, 0.63
1604, 0.67
1608, 0.70
1612, 0.76
1616, 0.80
1620, 0.84
1624, 0.88
1628, 0.92
1632, 0.97
1636, 1.02
1640, 1.08
1644, 1.13
1648, 1.18
1652, 1.22
1656, 1.28
1660, 1.32
1664, 1.38
1668, 1.42
1672, 1.49
1676, 1.54
1680, 1.60
1684, 1.68
1688, 1.74
1692, 1.79
1696, 1.84
1700, 1.92
1704, 1.97
1708, 2.04
1712, 2.08
1716, 2.17
1720, 2.22
1724, 2.28
1728, 2.36
1732, 2.43
1736, 2.50
1740, 2.59
1744, 2.64
1748, 2.74
1752, 2.79
1756, 2.87
1760, 2.93
1764, 3.01
1768, 3.10
1772, 3.15
1776, 3.21
1780, 3.27
1784, 3.39
1788, 3.46
1792, 3.54
1796, 3.63
1800, 3.72
1804, 3.79
1808, 3.92
1812, 4.02
1816, 4.14
1820, 4.21
1824, 4.32
1828, 4.41
1832, 4.54
1836, 4.67
1840, 4.69
1844, 4.86
1848, 4.92
1852, 5.02
1856, 5.12
1860, 5.21
1864, 5.29
1868, 5.38
1872, 5.50
1876, 5.60
1880, 5.67
1884, 5.77
1888, 5.82
1892, 5.90
1896, 5.98
1900, 6.02
