Voltage (V), PWM (µs), Force (Kg f), Current (A)
10,1100,-2.31,13.62
10,1104,-2.30,13.63
10,1108,-2.30,13.45
10,1112,-2.28,13.2
10,1116,-2.22,12.81
10,1120,-2.18,12.5
10,1124,-2.16,12.14
10,1128,-2.13,11.96
10,1132,-2.11,11.63
10,1136,-2.05,11.32
10,1140,-2.04,11
10,1144,-1.99,10.8
10,1148,-1.95,10.45
10,1152,-1.93,10.2
10,1156,-1.89,9.9
10,1160,-1.84,9.56
10,1164,-1.81,9.29
10,1168,-1.79,9.1
10,1172,-1.76,8.8
10,1176,-1.71,8.5
10,1180,-1.68,8.3
10,1184,-1.65,8.05
10,1188,-1.62,7.71
10,1192,-1.59,7.57
10,1196,-1.56,7.3
10,1200,-1.54,7.1
10,1204,-1.50,6.82
10,1208,-1.47,6.6
10,1212,-1.44,6.48
10,1216,-1.41,6.2
10,1220,-1.36,6
10,1224,-1.33,5.8
10,1228,-1.32,5.6
10,1232,-1.29,5.4
10,1236,-1.26,5.2
10,1240,-1.22,5
10,1244,-1.19,4.84
10,1248,-1.17,4.64
10,1252,-1.14,4.5
10,1256,-1.10,4.3
10,1260,-1.08,4.1
10,1264,-1.06,3.9
10,1268,-1.02,3.73
10,1272,-0.99,3.6
10,1276,-0.97,3.5
10,1280,-0.93,3.3
10,1284,-0.91,3.2
10,1288,-0.88,3
10,1292,-0.85,2.9
10,1296,-0.83,2.8
10,1300,-0.80,2.6
10,1304,-0.78,2.4
10,1308,-0.75,2.3
10,1312,-0.72,2.1
10,1316,-0.70,2
10,1320,-0.67,1.9
10,1324,-0.65,1.8
10,1328,-0.63,1.7
10,1332,-0.61,1.6
10,1336,-0.58,1.5
10,1340,-0.55,1.4
10,1344,-0.53,1.3
10,1348,-0.51,1.2
10,1352,-0.49,1.2
10,1356,-0.47,1.1
10,1360,-0.44,1
10,1364,-0.42,0.9
10,1368,-0.40,0.8
10,1372,-0.38,0.8
10,1376,-0.35,0.7
10,1380,-0.34,0.7
10,1384,-0.31,0.6
10,1388,-0.29,0.5
10,1392,-0.28,0.5
10,1396,-0.25,0.4
10,1400,-0.24,0.4
10,1404,-0.21,0.4
10,1408,-0.20,0.3
10,1412,-0.18,0.22
10,1416,-0.16,0.2
10,1420,-0.15,0.2
10,1424,-0.14,0.2
10,1428,-0.12,0.2
10,1432,-0.10,0.1
10,1436,-0.09,0.1
10,1440,-0.07,0.1
10,1444,-0.06,0.05
10,1448,-0.05,0.05
10,1452,-0.05,0.05
10,1456,-0.03,0.05
10,1460,0.00,0
10,1464,0.00,0
10,1468,0.00,0
10,1472,0.00,0
10,1476,0.00,0
10,1480,0.00,0
10,1484,0.00,0
10,1488,0.00,0
10,1492,0.00,0
10,1496,0.00,0
10,1500,0.00,0
10,1504,0.00,0
10,1508,0.00,0
10,1512,0.00,0
10,1516,0.00,0
10,1520,0.00,0
10,1524,0.00,0
10,1528,0.00,0
10,1532,0.00,0
10,1536,0.00,0
10,1540,0.00,0
10,1544,0.04,0.05
10,1548,0.05,0.05
10,1552,0.07,0.05
10,1556,0.08,0.1
10,1560,0.09,0.1
10,1564,0.11,0.1
10,1568,0.13,0.1
10,1572,0.15,0.2
10,1576,0.16,0.2
10,1580,0.18,0.2
10,1584,0.20,0.2
10,1588,0.22,0.3
10,1592,0.24,0.3
10,1596,0.26,0.4
10,1600,0.29,0.4
10,1604,0.31,0.47
10,1608,0.34,0.5
10,1612,0.36,0.5
10,1616,0.39,0.6
10,1620,0.41,0.7
10,1624,0.44,0.7
10,1628,0.47,0.8
10,1632,0.49,0.83
10,1636,0.52,0.94
10,1640,0.55,1
10,1644,0.58,1.1
10,1648,0.61,1.2
10,1652,0.64,1.3
10,1656,0.68,1.4
10,1660,0.70,1.5
10,1664,0.73,1.5
10,1668,0.76,1.6
10,1672,0.80,1.8
10,1676,0.83,1.9
10,1680,0.85,2
10,1684,0.89,2.1
10,1688,0.92,2.2
10,1692,0.95,2.3
10,1696,0.98,2.43
10,1700,0.97,2.7
10,1704,1.05,2.8
10,1708,1.08,2.9
10,1712,1.11,3.1
10,1716,1.17,3.3
10,1720,1.18,3.4
10,1724,1.21,3.5
10,1728,1.24,3.7
10,1732,1.27,3.84
10,1736,1.31,4
10,1740,1.36,4.2
10,1744,1.41,4.4
10,1748,1.43,4.5
10,1752,1.48,4.7
10,1756,1.52,4.9
10,1760,1.55,5.1
10,1764,1.58,5.3
10,1768,1.62,5.5
10,1772,1.66,5.7
10,1776,1.69,5.9
10,1780,1.73,6.09
10,1784,1.77,6.3
10,1788,1.80,6.5
10,1792,1.85,6.73
10,1796,1.88,6.9
10,1800,1.91,7.13
10,1804,1.99,7.4
10,1808,2.00,7.6
10,1812,2.06,7.9
10,1816,2.09,8.1
10,1820,2.12,8.33
10,1824,2.17,8.64
10,1828,2.21,8.89
10,1832,2.27,9.14
10,1836,2.30,9.4
10,1840,2.36,9.7
10,1844,2.41,10
10,1848,2.45,10.2
10,1852,2.48,10.5
10,1856,2.55,10.79
10,1860,2.58,11.04
10,1864,2.62,11.35
10,1868,2.65,11.6
